,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-05-01 22:13:49.102000+00:00,,348.0,-1.25,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:50.164000+00:00,,348.0,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:51.216000+00:00,,347.875,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:52.256000+00:00,,347.8125,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:53.308000+00:00,,347.8125,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:54.361000+00:00,,347.8125,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:55.421000+00:00,,347.75,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:56.487000+00:00,,347.75,-1.25,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:57.532000+00:00,,347.6875,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:58.575000+00:00,,347.75,-1.1875,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:13:59.643000+00:00,,347.8125,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:00.697000+00:00,,347.8125,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:01.755000+00:00,,347.75,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:02.799000+00:00,,347.6875,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:03.841000+00:00,,347.625,-1.25,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:04.889000+00:00,,347.6875,-1.25,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:05.948000+00:00,,347.5,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:07.009000+00:00,,347.5,-1.25,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:08.063000+00:00,,347.4375,-1.25,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:09.126000+00:00,,347.4375,-1.25,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:10.188000+00:00,,347.5,-1.1875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:11.242000+00:00,,347.4375,-1.25,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:12.289000+00:00,,347.4375,-1.25,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:13.337000+00:00,,347.375,-1.25,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:14.388000+00:00,,347.375,-1.1875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:15.426000+00:00,,347.375,-1.1875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:16.469000+00:00,,347.3125,-1.25,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 22:14:17.514000+00:00,,347.3125,-1.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
