,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 16:32:51.108000+00:00,60.4143487821028,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:32:51.814000+00:00,60.41411517749725,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:32:52.901000+00:00,62.634246404948954,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:32:53.494000+00:00,62.63416442412715,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:32:54.512000+00:00,62.634103598261916,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:32:55.650000+00:00,62.63429751665787,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:32:56.640000+00:00,62.63437684531499,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:32:59.770000+00:00,62.35680969354138,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:01.471000+00:00,60.78959653101542,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:02.461000+00:00,60.789460783970654,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:03.634000+00:00,60.78945196928348,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:04.798000+00:00,60.78910469781514,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:05.713000+00:00,62.541853871562864,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:06.423000+00:00,62.541973752323734,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:06.875000+00:00,62.542258463630255,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:07.783000+00:00,62.542128886185495,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:08.763000+00:00,62.54203106177489,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:09.578000+00:00,62.54245505350381,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:10.492000+00:00,62.542882567756905,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:11.633000+00:00,62.54305972960516,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:12.774000+00:00,62.54291251649776,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:13.813000+00:00,62.542943368058005,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:15.812000+00:00,60.365475744851004,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:16.842000+00:00,60.36556830413737,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:17.907000+00:00,60.365522465822934,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:18.549000+00:00,60.36540346776659,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
2025-03-24 16:33:20.650000+00:00,58.79830281969006,,,,359.625,0.375,-0.062,23.0,-115.062,-5.375,-8.75,0.017,0.01,-0.004,0.3,0.63,9.34,-0.56,0.57,-0.46,0.0,0.06,9.8,2.1075,5.0,10.0,0.0,6.3,1.0,1016.61,65.57,-13.16
