,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 16:10:12.164000+00:00,57.49344520639413,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:13.313000+00:00,57.493543733968366,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:14.486000+00:00,57.49345818016335,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:15.576000+00:00,57.49342604913443,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:17.364000+00:00,56.19610729744799,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:18.373000+00:00,56.19694539239779,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:19.369000+00:00,56.469449427949066,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:20.766000+00:00,56.197431818080794,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:21.784000+00:00,56.197254734546675,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
2025-03-24 16:10:22.786000+00:00,56.19706413939692,,,,2.438,-1.188,-1.0,24.0,-105.0,3.188,-3.5,0.011,0.011,0.004,0.42,0.25,9.34,0.65,0.04,-0.45,-0.22,0.21,9.8,1.86625,0.0,0.0,0.0,5.2,1.0,1016.87,66.77,-15.51
