,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 16:14:59.010000+00:00,64.52155905101365,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:14:59.715000+00:00,64.52156962861586,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:00.660000+00:00,64.52173358492176,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:02.650000+00:00,62.76908789782125,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:03.716000+00:00,62.76900768257569,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:04.850000+00:00,64.52169580479111,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:05.929000+00:00,64.18868609106596,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:06.553000+00:00,64.18875484580785,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:07.121000+00:00,64.18879803728345,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:08.040000+00:00,64.1888280072674,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:09.020000+00:00,64.1887090131794,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:09.823000+00:00,64.18864907390949,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:10.770000+00:00,64.18870196189253,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:11.856000+00:00,64.18881214142867,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:12.981000+00:00,63.8558442258856,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:14.070000+00:00,63.85503169624517,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:15.100000+00:00,64.18801884679115,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:16.120000+00:00,63.855595851130225,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:16.660000+00:00,63.85563287452137,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:17.230000+00:00,63.85565050442765,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:18.160000+00:00,63.85565931918014,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:19.146000+00:00,63.8556866449635,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:20.174000+00:00,63.855560591100165,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:21.880000+00:00,63.85555623910685,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:23.020000+00:00,63.8554240246083,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:24.040000+00:00,63.85504239198649,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:25.219000+00:00,64.18767311709549,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:25.935000+00:00,64.18739370844708,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:26.359000+00:00,64.1872271189284,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:28.239000+00:00,62.4345088874358,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:29.255000+00:00,62.434062074450615,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:30.274000+00:00,62.43409821404627,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:31.947000+00:00,60.768977148108014,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:33.020000+00:00,60.76892602389669,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:34.149000+00:00,61.10198120431153,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:35.312000+00:00,60.770050892833055,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:36.278000+00:00,60.76994687346762,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:36.939000+00:00,60.76972694871459,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:37.588000+00:00,60.769194596276876,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:38.348000+00:00,60.769001558970544,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:39.249000+00:00,60.76888873366232,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:41.317000+00:00,59.016113744774245,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:42.327000+00:00,59.01604322929258,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:43.264000+00:00,60.768758496864294,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:43.987000+00:00,60.76891274813325,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:44.987000+00:00,60.769307602852294,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:45.967000+00:00,60.43673614121758,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:47.058000+00:00,60.436693837370306,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:47.849000+00:00,60.43700763890538,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:48.958000+00:00,61.85672297097965,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:49.458000+00:00,61.857062255881,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:50.459000+00:00,61.5240168777161,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:51.400000+00:00,63.18830250987361,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:52.322000+00:00,63.18829898412379,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:53.393000+00:00,63.18821348213346,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:54.062000+00:00,63.52095984919068,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:55.107000+00:00,63.52085671776022,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:56.206000+00:00,63.85411663362032,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:57.317000+00:00,63.521639917952584,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:14:59.119000+00:00,63.521639917952584,,,,14.312,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:00.130000+00:00,63.521639917952584,,,,14.438,-1.25,-1.125,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:01.140000+00:00,63.521639917952584,,,,14.375,-1.375,-1.125,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:02.150000+00:00,63.521639917952584,,,,14.5,-1.188,-1.125,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:03.199000+00:00,63.521639917952584,,,,14.5,-1.125,-1.062,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:04.341000+00:00,63.521639917952584,,,,14.688,-1.188,-1.062,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:05.400000+00:00,63.521639917952584,,,,14.688,-1.312,-1.125,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:06.191000+00:00,63.521639917952584,,,,14.625,-1.188,-1.062,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:07.201000+00:00,63.521639917952584,,,,14.75,-1.188,-1.062,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:08.212000+00:00,63.521639917952584,,,,14.688,-1.188,-1.062,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:09.219000+00:00,63.521639917952584,,,,14.75,-1.25,-1.125,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:10.228000+00:00,63.521639917952584,,,,14.812,-1.25,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:11.312000+00:00,63.521639917952584,,,,14.875,-1.188,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:12.475000+00:00,63.521639917952584,,,,14.812,-1.125,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:13.551000+00:00,63.521639917952584,,,,14.75,-1.125,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:14.570000+00:00,63.521639917952584,,,,14.938,-1.188,-1.25,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:15.277000+00:00,63.521639917952584,,,,14.938,-1.125,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:16.288000+00:00,63.521639917952584,,,,14.875,-1.062,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:17.299000+00:00,63.521639917952584,,,,15.062,-1.062,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:18.310000+00:00,63.521639917952584,,,,15.0,-1.062,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:19.320000+00:00,63.521639917952584,,,,15.0,-1.062,-1.125,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:20.327000+00:00,63.521639917952584,,,,15.125,-1.062,-1.188,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:21.351000+00:00,63.521639917952584,,,,15.125,-1.125,-1.125,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
2025-03-24 16:15:22.486000+00:00,63.521639917952584,,,,15.188,-1.125,-1.125,22.64,-67.375,-9.5,-25.25,-0.006,-0.008,-0.012,-0.56,0.61,9.57,-0.35,0.4,-0.23,-0.21,0.2,9.8,1.94875,2.5,10.0,0.0,5.9,1.0,1016.87,66.98,-15.3
