,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 16:30:42.274000+00:00,65.83289243515594,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:43.862000+00:00,64.26581260420532,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:44.528000+00:00,66.90220920744294,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:45.602000+00:00,67.31890213213063,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:46.613000+00:00,67.73508123551419,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:46.932000+00:00,68.15113994821505,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:49.651000+00:00,66.01952271760501,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:50.345000+00:00,66.43491784429871,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:51.378000+00:00,66.43466458625183,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:51.962000+00:00,68.41750891220987,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:52.805000+00:00,68.41760485416424,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:53.436000+00:00,68.41767848640407,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:55.605000+00:00,68.52776152072839,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
2025-03-24 16:30:56.675000+00:00,66.65439864058752,,,,355.062,0.062,0.0,23.0,-75.25,-3.688,-27.062,-0.048,-0.078,-0.039,-0.68,-0.01,9.42,-0.68,-0.02,-0.37,0.0,0.0,9.8,2.14125,11.25,30.0,0.0,0.0,4.0,1016.82,64.6,-15.17
