,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 16:26:52.370000+00:00,59.683435198743325,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:26:53.493000+00:00,60.016070186417515,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:26:54.596000+00:00,60.348751867943236,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:26:55.644000+00:00,60.015502439384576,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:26:56.619000+00:00,60.34838050512626,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:26:57.275000+00:00,60.348073795739154,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:26:58.143000+00:00,62.100796618369166,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:26:58.729000+00:00,62.10086890197979,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:26:59.630000+00:00,62.43365098821774,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:27:00.689000+00:00,62.43361220361472,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
2025-03-24 16:27:01.614000+00:00,62.43358047139601,,,,359.688,-1.062,-0.75,23.57,-56.562,-13.25,-30.375,-0.037,-0.031,0.067,0.0,-0.01,9.58,0.17,-0.15,-0.26,-0.17,0.13,9.8,1.985,2.5,0.0,0.0,0.0,4.0,1016.88,64.29,-15.57
