,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 16:29:08.883000+00:00,64.20553053240079,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:10.416000+00:00,62.63831805641993,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:11.523000+00:00,63.38758156655791,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:11.947000+00:00,63.38800813961029,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:12.835000+00:00,64.13713523588308,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:14.851000+00:00,62.57068644907425,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:15.425000+00:00,63.31986240075888,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:16.446000+00:00,63.31986504533652,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:17.015000+00:00,63.73618086105063,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:17.941000+00:00,64.06934504494303,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:18.951000+00:00,64.48584730459677,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:19.645000+00:00,64.48606238171159,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:20.495000+00:00,65.23532044885556,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:21.475000+00:00,65.2354958528202,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:22.155000+00:00,65.65168956207596,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:22.957000+00:00,65.65205182970706,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:23.875000+00:00,65.6524891066808,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:24.986000+00:00,67.2198361618403,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:25.991000+00:00,67.63625694165287,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:26.525000+00:00,67.22029105388455,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:27.535000+00:00,67.2205933782105,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:29.004000+00:00,67.22054988857909,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
2025-03-24 16:29:30.048000+00:00,66.80431268988855,,,,356.938,-0.812,-0.688,23.0,-55.562,-15.188,-38.688,0.046,0.047,-0.088,-0.11,0.0,9.61,0.03,-0.11,-0.18,-0.15,0.13,9.8,2.0225,7.5,10.0,0.0,0.0,4.0,1016.83,64.4,-15.12
