,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:42:12.378000+00:00,62.85244171923267,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:13.378000+00:00,62.852572380125686,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:14.379000+00:00,62.51969831826631,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:15.380000+00:00,62.51951983708282,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:16.402000+00:00,62.519694295664024,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:17.553000+00:00,62.18707760613673,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:18.183000+00:00,62.51986592850843,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:19.197000+00:00,62.18689134722954,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:20.191000+00:00,62.186847796441135,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
2025-03-24 18:42:21.158000+00:00,62.18694649282769,,,,339.375,-0.625,-1.188,23.07,-136.062,-8.875,-14.25,-0.032,0.021,-0.057,-0.14,-0.24,9.24,-0.03,-0.44,-0.56,-0.1,0.2,9.8,1.91625,2.5,10.0,0.0,5.4,8.0,1016.68,66.82,-13.81
