,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:46:30.290000+00:00,47.713199945697184,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:31.640000+00:00,47.29405320070356,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:32.710000+00:00,47.29423717417883,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:32.761000+00:00,47.29443503134494,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:33.715000+00:00,47.486844276271626,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:35.288000+00:00,47.48715863134371,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:36.290000+00:00,47.84401136968308,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:37.459000+00:00,48.036137334836496,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:37.845000+00:00,48.228263299989926,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
2025-03-24 18:46:38.845000+00:00,48.420563642490755,,,,332.938,-0.75,-1.5,23.0,-112.688,-2.75,-32.75,-0.024,-0.002,0.006,-0.33,0.04,9.48,0.1,-0.17,-0.31,-0.14,0.22,9.8,1.62375,-1.25,0.0,0.0,4.5,8.0,1016.67,67.14,-14.1
