,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:37:06.147000+00:00,56.790020357587466,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:06.829000+00:00,56.94771744128674,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:07.910000+00:00,56.94739052108836,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:08.910000+00:00,57.22008750434876,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:10.167000+00:00,57.49272278578129,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:11.347000+00:00,57.49266613436854,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:12.213000+00:00,57.492799645957916,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:13.271000+00:00,57.76560885330791,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:14.015000+00:00,58.038388892968634,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
2025-03-24 18:37:15.187000+00:00,57.76618192243175,,,,346.5,-0.938,-1.312,23.0,-62.375,0.5,-33.5,0.002,-0.006,-0.012,-1.01,0.59,9.34,-0.84,0.36,-0.45,-0.17,0.23,9.8,1.82625,0.0,0.0,0.0,0.0,6.0,1016.87,67.61,-15.52
