,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:22:50.529000+00:00,27.638506075632222,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:50.590000+00:00,26.791944642201372,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:50.640000+00:00,25.94537569165912,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:51.044000+00:00,25.098806741116867,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:51.089000+00:00,24.164577067277914,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:55.165000+00:00,23.180541650864626,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:55.755000+00:00,22.196541058972684,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:55.816000+00:00,21.300138472790383,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:55.875000+00:00,20.316110550384415,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
2025-03-24 18:22:55.933000+00:00,19.33208262797845,,,,15.188,-0.875,-1.625,23.0,-115.062,1.188,-13.562,0.003,0.016,-0.01,-0.01,0.45,9.4,0.12,0.16,-0.39,-0.14,0.28,9.8,0.5925,0.0,0.0,0.0,4.5,8.0,1016.81,67.18,-14.8
