,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:18:37.423000+00:00,42.48016793904841,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:38.482000+00:00,42.97949967489364,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:39.960000+00:00,43.4789945289195,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:40.922000+00:00,43.978630365363074,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:42.086000+00:00,44.47803808229499,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:43.289000+00:00,44.977604971481426,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:44.487000+00:00,45.477103917906994,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:45.962000+00:00,45.976618237322484,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:46.311000+00:00,46.47627506197009,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
2025-03-24 18:18:47.298000+00:00,46.9759669367014,,,,21.125,-1.0,-2.0,23.0,-104.75,-10.375,-36.375,0.011,-0.012,0.041,0.43,0.26,9.47,0.57,-0.05,-0.32,-0.13,0.32,9.8,1.35375,2.5,0.0,0.0,0.0,7.0,1017.0,67.29,-16.79
