,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:17:15.558000+00:00,39.052852846651746,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:16.709000+00:00,38.785217721036226,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:17.269000+00:00,38.51762449102231,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:18.584000+00:00,38.39282968461409,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:20.298000+00:00,38.26800588014068,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:20.347000+00:00,38.0004300849028,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:21.788000+00:00,37.73277926121074,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:22.367000+00:00,37.607837269824735,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:23.476000+00:00,37.60786297453969,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:23.527000+00:00,37.60788867925466,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:25.051000+00:00,37.875505782738,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:25.538000+00:00,38.14314352675975,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:26.447000+00:00,38.41077434890655,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:27.720000+00:00,38.67828833420491,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:28.093000+00:00,38.94580231950327,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:29.594000+00:00,39.21325000950368,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:29.650000+00:00,39.48069769950409,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:30.723000+00:00,39.74835550954875,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:30.823000+00:00,40.016013319593426,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:32.777000+00:00,40.28361672779983,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:33.746000+00:00,40.51864552437845,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:35.416000+00:00,40.78619831758408,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:36.762000+00:00,41.05376568243648,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:36.823000+00:00,41.321357034913035,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:38.387000+00:00,41.58889385138711,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:39.750000+00:00,41.71378239424722,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:40.938000+00:00,41.981447425505195,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:41.489000+00:00,42.24911245676317,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:42.812000+00:00,42.39186834381688,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:44.056000+00:00,42.39188040304687,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:45.449000+00:00,42.391777308172315,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
2025-03-24 18:17:45.502000+00:00,42.39167421329777,,,,23.188,-1.125,-1.562,22.88,-81.75,-16.375,-24.5,-0.006,0.012,0.036,-0.22,0.29,9.28,-0.01,0.02,-0.51,-0.2,0.27,9.8,1.195,0.0,0.0,0.0,0.0,7.0,1017.01,67.28,-16.57
