,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:29:40.106000+00:00,,,,,355.25,-0.562,-1.375,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:41.117000+00:00,,,,,355.25,-0.438,-1.25,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:42.128000+00:00,,,,,355.25,-0.562,-1.375,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:43.234000+00:00,,,,,355.312,-0.562,-1.375,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:44.163000+00:00,,,,,355.25,-0.5,-1.375,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:45.329000+00:00,,,,,355.25,-0.5,-1.25,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:46.449000+00:00,,,,,355.188,-0.5,-1.188,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:47.425000+00:00,,,,,355.188,-0.625,-1.312,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:48.433000+00:00,,,,,355.188,-0.438,-1.25,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
2025-03-24 18:29:49.197000+00:00,,,,,355.125,-0.5,-1.125,22.85,-83.75,-6.25,-19.062,-0.016,0.014,0.002,-0.22,0.96,9.52,-0.39,0.16,-0.39,-0.1,0.21,9.8,0.09,0.0,0.0,0.0,0.0,7.0,1016.92,67.6,-16.02
