,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:27:12.666000+00:00,,,,,358.688,-1.0,-1.562,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:13.736000+00:00,,,,,358.625,-0.938,-1.5,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:14.896000+00:00,,,,,358.688,-1.062,-1.625,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:15.689000+00:00,,,,,358.625,-1.0,-1.562,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:16.699000+00:00,,,,,358.688,-1.0,-1.625,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:17.712000+00:00,,,,,358.688,-0.938,-1.5,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:18.876000+00:00,,,,,358.625,-0.812,-1.438,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:19.898000+00:00,,,,,358.625,-0.812,-1.5,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:20.876000+00:00,,,,,358.562,-0.812,-1.375,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
2025-03-24 18:27:21.892000+00:00,,,,,358.5,-1.0,-1.5,22.86,-82.25,-6.5,-18.5,0.003,-0.004,0.076,-0.13,0.58,9.4,0.03,0.31,-0.39,-0.17,0.27,9.8,0.03,0.0,0.0,0.0,0.4,7.0,1016.95,67.44,-16.12
