,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:28:25.450000+00:00,,,,,357.125,-0.688,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:26.391000+00:00,,,,,357.062,-0.625,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:27.469000+00:00,,,,,357.062,-0.812,-1.438,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:28.519000+00:00,,,,,357.062,-0.688,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:29.449000+00:00,,,,,357.062,-0.688,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:30.636000+00:00,,,,,356.938,-0.75,-1.438,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:31.443000+00:00,,,,,356.938,-0.75,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:32.456000+00:00,,,,,357.0,-0.688,-1.438,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:33.466000+00:00,,,,,356.938,-0.75,-1.438,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:34.476000+00:00,,,,,356.875,-0.688,-1.625,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:35.484000+00:00,,,,,356.875,-0.875,-1.562,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:36.495000+00:00,,,,,356.875,-0.812,-1.438,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:37.506000+00:00,,,,,356.812,-0.812,-1.438,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:38.539000+00:00,,,,,356.688,-0.875,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:39.525000+00:00,,,,,356.688,-0.688,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:40.534000+00:00,,,,,356.75,-0.625,-1.312,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:41.542000+00:00,,,,,356.625,-0.75,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
2025-03-24 18:28:42.553000+00:00,,,,,356.625,-0.75,-1.375,22.85,-82.562,-6.188,-18.062,-0.008,-0.004,0.016,-0.15,0.13,9.42,-0.03,-0.09,-0.37,-0.12,0.23,9.8,0.1325,-1.25,0.0,0.0,0.0,7.0,1016.97,67.51,-16.19
