,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:32:27.759000+00:00,,,,,351.562,-0.875,-1.375,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:28.771000+00:00,,,,,351.562,-0.875,-1.312,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:29.899000+00:00,,,,,351.5,-0.75,-1.25,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:30.848000+00:00,,,,,351.5,-0.938,-1.375,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:31.979000+00:00,,,,,351.5,-0.875,-1.312,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:33.029000+00:00,,,,,351.5,-0.875,-1.312,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:34.066000+00:00,,,,,351.5,-1.0,-1.5,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:35.009000+00:00,,,,,351.5,-0.938,-1.438,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:35.839000+00:00,,,,,351.5,-0.875,-1.375,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:36.850000+00:00,,,,,351.438,-0.875,-1.312,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:37.860000+00:00,,,,,351.438,-1.0,-1.375,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:38.871000+00:00,,,,,351.375,-0.875,-1.375,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:39.919000+00:00,,,,,351.375,-0.75,-1.312,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:41.059000+00:00,,,,,351.375,-0.938,-1.312,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:41.968000+00:00,,,,,351.312,-0.875,-1.375,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:43.039000+00:00,,,,,351.312,-0.938,-1.375,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
2025-03-24 18:32:44.178000+00:00,,,,,351.312,-0.938,-1.438,23.07,-81.75,-7.188,-18.562,0.013,0.002,0.04,-0.43,1.05,9.34,-0.28,0.81,-0.46,-0.15,0.23,9.8,0.15625,1.25,0.0,0.0,5.3,7.0,1016.69,66.84,-13.95
