,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:35:14.378000+00:00,,,,,348.25,-1.125,-1.625,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:15.386000+00:00,,,,,348.25,-1.188,-1.625,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:16.394000+00:00,,,,,348.188,-1.125,-1.625,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:17.404000+00:00,,,,,348.188,-1.188,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:18.541000+00:00,,,,,348.25,-1.125,-1.625,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:19.695000+00:00,,,,,348.125,-1.062,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:20.436000+00:00,,,,,348.125,-1.125,-1.625,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:21.444000+00:00,,,,,348.188,-1.125,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:22.455000+00:00,,,,,348.125,-1.188,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:23.465000+00:00,,,,,348.125,-1.188,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:24.475000+00:00,,,,,348.062,-1.25,-1.5,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:25.487000+00:00,,,,,348.0,-1.188,-1.625,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:26.494000+00:00,,,,,348.062,-1.188,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:27.508000+00:00,,,,,348.062,-1.125,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:28.554000+00:00,,,,,348.0,-1.188,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:29.593000+00:00,,,,,348.0,-1.25,-1.625,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:30.760000+00:00,,,,,347.938,-1.188,-1.688,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:31.546000+00:00,,,,,347.938,-1.188,-1.625,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
2025-03-24 18:35:32.553000+00:00,,,,,348.0,-1.062,-1.562,23.0,-82.688,-6.688,-18.188,0.003,-0.006,0.003,-0.05,0.36,9.39,0.14,0.08,-0.4,-0.2,0.28,9.8,0.1125,0.0,0.0,0.0,4.3,7.0,1016.66,67.3,-14.22
