,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 17:24:50.097000+00:00,64.27226259995729,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:51.048000+00:00,64.27224497084424,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:52.240000+00:00,64.27217214392967,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:52.578000+00:00,64.27210162337126,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:53.579000+00:00,63.93968662229846,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:54.510000+00:00,63.93977388412154,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:55.519000+00:00,63.93986312456443,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:56.493000+00:00,63.9400676036582,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:57.531000+00:00,63.60736832929886,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:58.560000+00:00,63.94037926850901,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:24:59.575000+00:00,63.6080425574673,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:25:00.250000+00:00,63.94078656074473,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:25:01.256000+00:00,63.60786254440452,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:25:03.232000+00:00,61.85510342541885,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:25:04.239000+00:00,61.85504345434133,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:25:05.419000+00:00,61.85529632508459,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
2025-03-24 17:25:06.435000+00:00,61.855173524531345,,,,6.312,-1.312,-0.938,22.85,-92.5,-2.688,-24.0,0.023,0.007,0.053,0.04,0.71,9.63,0.28,0.54,-0.16,-0.23,0.17,9.8,1.8800000000000001,3.75,10.0,0.0,6.3,1.0,1017.05,67.18,-17.26
