,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 17:27:31.527000+00:00,55.22503062876086,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:32.551000+00:00,54.72598055475896,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:32.600000+00:00,54.49889271492242,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:34.147000+00:00,53.99930303406055,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:35.160000+00:00,53.57990412771134,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:36.715000+00:00,52.888625649919504,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:37.887000+00:00,52.66155760391623,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:37.942000+00:00,52.16208712594047,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:39.110000+00:00,51.66284736626994,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:39.165000+00:00,51.43608408490591,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:40.224000+00:00,50.7443755206712,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:41.669000+00:00,50.32545289813833,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:42.983000+00:00,50.09855731125752,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:43.042000+00:00,49.87150358025608,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:44.028000+00:00,49.644602589379744,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:45.708000+00:00,49.225481152896364,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
2025-03-24 17:27:47.073000+00:00,48.806361829063874,,,,14.25,-1.125,-0.812,23.0,-77.0,-11.062,-34.25,0.017,0.019,-0.024,-0.22,0.25,9.32,-0.21,-0.04,-0.47,-0.2,0.15,9.8,1.6600000000000001,-2.5,0.0,0.0,5.2,1.0,1017.05,67.55,-16.74
