,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 17:20:14.560000+00:00,59.13323571152961,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:15.007000+00:00,59.13330712000211,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:15.919000+00:00,61.30159356327474,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:16.945000+00:00,61.3017813286847,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:17.885000+00:00,62.05058279416734,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:18.635000+00:00,62.05028841883336,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:19.589000+00:00,62.79930500084281,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:20.586000+00:00,62.79972539076518,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:21.020000+00:00,63.548868048113285,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:22.039000+00:00,63.54895793941132,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:22.628000+00:00,65.71759000364817,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:23.775000+00:00,66.05072281647654,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:24.916000+00:00,66.05087972181194,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:25.919000+00:00,66.46726964712458,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:26.228000+00:00,66.80046591508678,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:27.938000+00:00,66.80074631975856,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:29.617000+00:00,65.23393189550566,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:30.638000+00:00,65.23422638535504,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:31.669000+00:00,65.23438064184984,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:32.288000+00:00,65.23438398864126,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
2025-03-24 17:20:33.998000+00:00,65.23440029738103,,,,354.562,0.938,0.562,23.16,-127.0,-9.562,4.875,0.024,0.018,-0.1,-0.36,-0.32,9.63,-0.53,-0.22,-0.17,0.16,-0.09,9.8,2.15875,7.5,10.0,0.0,0.0,5.0,1017.13,65.94,-17.76
