,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 17:17:27.287000+00:00,57.76761511399328,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:28.276000+00:00,57.49520130339098,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:29.056000+00:00,57.76781498273766,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:30.057000+00:00,57.76769002760515,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:31.090000+00:00,57.767761430180805,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:32.140000+00:00,58.0394830750008,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:33.278000+00:00,57.7666147595654,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:34.268000+00:00,58.03894931148339,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:35.316000+00:00,58.03833253516051,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:36.289000+00:00,57.76596766694136,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:37.299000+00:00,58.038364808188554,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:38.366000+00:00,57.76549040709341,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:39.366000+00:00,58.038115962911924,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:40.601000+00:00,57.765603941410724,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:41.949000+00:00,57.76562813439351,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:42.960000+00:00,57.493491926981825,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:43.977000+00:00,57.49339410240049,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:45.002000+00:00,57.49288555076453,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:46.010000+00:00,57.492966944000315,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:47.139000+00:00,57.49261116341417,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
2025-03-24 17:17:48.189000+00:00,57.49248764428493,,,,358.625,-0.062,-0.25,23.2,-77.375,-18.688,-29.25,0.008,-0.004,-0.053,-0.64,0.52,9.39,-0.61,0.48,-0.41,-0.03,0.04,9.8,1.9475,0.0,0.0,0.0,0.0,5.0,1017.13,66.24,-17.87
