,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 17:18:49.180000+00:00,58.767389431015225,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:50.201000+00:00,59.099621142757165,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:50.931000+00:00,59.37208357759482,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:51.854000+00:00,59.976952955191145,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:52.870000+00:00,60.30990849593422,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:53.904000+00:00,60.582224400198996,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:54.844000+00:00,60.91485048139572,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:55.964000+00:00,61.18698377757221,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:56.832000+00:00,61.519517741446705,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
2025-03-24 17:18:57.879000+00:00,61.519916803226224,,,,356.562,0.0,0.062,23.2,-98.25,-4.0,-19.062,0.01,-0.009,0.002,0.22,-0.25,9.48,0.21,-0.24,-0.32,0.0,-0.01,9.8,1.98125,3.75,0.0,0.0,0.0,5.0,1017.15,65.96,-17.79
