,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 17:47:13.158000+00:00,,,,,359.688,0.5,0.5,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:14.168000+00:00,,,,,359.625,0.438,0.438,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:15.181000+00:00,,,,,359.688,0.438,0.562,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:16.265000+00:00,,,,,359.562,0.438,0.562,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:17.285000+00:00,,,,,359.625,0.375,0.625,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:18.415000+00:00,,,,,359.625,0.5,0.75,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:19.212000+00:00,,,,,359.625,0.5,0.812,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:20.222000+00:00,,,,,359.625,0.375,0.875,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:21.233000+00:00,,,,,359.625,0.312,0.688,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:22.244000+00:00,,,,,359.625,0.188,0.688,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:23.251000+00:00,,,,,359.625,0.312,0.812,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:24.258000+00:00,,,,,359.688,0.5,0.938,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:25.301000+00:00,,,,,359.625,0.375,0.938,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:26.276000+00:00,,,,,359.562,0.562,1.062,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:27.287000+00:00,,,,,359.5,0.438,1.125,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
2025-03-24 17:47:28.357000+00:00,,,,,359.438,0.5,1.25,23.0,-74.188,-2.875,-24.688,0.002,0.016,-0.08,-0.59,0.19,9.39,-0.05,0.26,-0.4,0.08,-0.07,9.8,0.06,0.0,0.0,0.0,0.0,5.0,1017.2,66.7,-18.35
