,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 17:49:48.631000+00:00,,,,,356.938,-0.938,0.0,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:49.642000+00:00,,,,,356.812,-0.875,0.0,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:50.653000+00:00,,,,,356.875,-1.0,-0.062,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:51.661000+00:00,,,,,356.75,-1.0,0.0,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:52.671000+00:00,,,,,356.875,-1.0,0.0,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:53.682000+00:00,,,,,356.812,-0.938,0.125,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:54.692000+00:00,,,,,356.75,-0.938,0.0,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:55.703000+00:00,,,,,356.812,-0.875,0.062,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:56.784000+00:00,,,,,356.688,-0.875,0.125,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:57.910000+00:00,,,,,356.688,-0.812,0.062,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:58.960000+00:00,,,,,356.625,-0.938,0.0,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:49:59.740000+00:00,,,,,356.688,-1.0,0.0,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
2025-03-24 17:50:00.751000+00:00,,,,,356.625,-1.0,-0.062,23.26,-74.062,-3.25,-23.75,-0.019,0.007,-0.046,-0.79,-0.73,9.55,-0.63,-0.72,-0.25,-0.16,0.0,9.8,0.04,1.25,0.0,0.0,0.0,5.0,1017.18,66.18,-18.27
