,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 17:48:26.841000+00:00,,,,,358.0,-0.5,0.438,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:27.875000+00:00,,,,,358.0,-0.562,0.312,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:29.036000+00:00,,,,,358.062,-0.562,0.375,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:29.960000+00:00,,,,,358.0,-0.625,0.375,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:30.888000+00:00,,,,,357.938,-0.625,0.312,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:31.930000+00:00,,,,,357.938,-0.75,0.312,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:33.084000+00:00,,,,,357.938,-0.812,0.125,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:34.085000+00:00,,,,,357.938,-0.812,0.125,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:35.215000+00:00,,,,,357.812,-0.938,0.0,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:35.927000+00:00,,,,,357.875,-0.875,0.0,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:36.937000+00:00,,,,,357.875,-0.875,0.062,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:37.944000+00:00,,,,,357.812,-0.688,0.125,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:38.953000+00:00,,,,,357.688,-0.688,0.0,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:40.080000+00:00,,,,,357.75,-0.438,0.125,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:41.094000+00:00,,,,,357.625,-0.688,0.0,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:42.079000+00:00,,,,,357.625,-0.75,0.0,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:43.225000+00:00,,,,,357.625,-0.438,0.188,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:44.002000+00:00,,,,,357.5,-0.375,0.125,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:45.012000+00:00,,,,,357.562,-0.5,0.0,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:46.023000+00:00,,,,,357.562,-0.312,0.125,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:47.034000+00:00,,,,,357.562,-0.625,0.062,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:48.041000+00:00,,,,,357.562,-0.5,0.188,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:49.099000+00:00,,,,,357.562,-0.562,0.25,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:50.115000+00:00,,,,,357.625,-0.5,0.25,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:51.138000+00:00,,,,,357.562,-0.312,0.312,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:52.304000+00:00,,,,,357.5,-0.375,0.188,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:53.092000+00:00,,,,,357.438,-0.562,0.0,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:54.402000+00:00,,,,,357.562,-0.375,0.062,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:55.107000+00:00,,,,,357.5,-0.312,0.188,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:56.118000+00:00,,,,,357.5,-0.375,0.188,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:57.128000+00:00,,,,,357.562,-0.438,0.312,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
2025-03-24 17:48:58.139000+00:00,,,,,357.5,-0.438,0.25,23.0,-74.188,-2.375,-25.75,0.009,0.004,-0.043,0.13,0.11,9.49,0.22,0.66,-0.3,-0.1,-0.06,9.8,0.0525,1.25,0.0,0.0,0.0,5.0,1017.23,66.26,-18.5
