Unnamed: 0,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:42:36.174000+00:00,58.02,60,60,60,90,-1.125,-0.125,21.2,-153.562,-26.5,-3.688,0.0,-0.012,0.014,-0.81,0.58,9.3,-0.44,0.55,-0.49,-0.37,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.238000+00:00,58.02,60,60,60,90,-1.125,-0.188,21.2,-153.562,-26.5,-3.688,0.0,-0.012,0.014,-0.81,0.58,9.3,-0.44,0.55,-0.49,-0.37,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.291000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-153.562,-26.5,-3.688,0.0,-0.012,0.014,-0.81,0.58,9.3,-0.44,0.55,-0.49,-0.37,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.345000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.0,-0.012,0.014,-0.81,0.58,9.3,-0.44,0.55,-0.49,-0.37,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.395000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,-0.81,0.58,9.3,-0.44,0.55,-0.49,-0.37,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.444000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,-0.44,0.55,-0.49,-0.37,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.495000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.37,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.545000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.595000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.88,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.644000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:36.695000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.014000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.105000+00:00,58.02,60,60,60,90,-1.125,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.109000+00:00,58.02,60,60,60,90,-1.125,-0.188,21.2,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.156000+00:00,58.02,60,60,60,90,-1.125,-0.188,21.2,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.216000+00:00,58.02,60,60,60,90,-1.125,-0.188,21.2,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.275000+00:00,58.02,60,60,60,90,-1.125,-0.188,21.2,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.326000+00:00,58.02,60,60,60,90,-1.312,-0.188,21.2,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.385000+00:00,58.02,60,60,60,90,-1.312,-0.188,22.0,-148.75,-17.875,3.875,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.436000+00:00,58.02,60,60,60,90,-1.312,-0.188,22.0,-144.188,-8.75,-0.25,0.017,-0.038,0.042,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
2024-11-25 19:42:37.485000+00:00,58.02,60,60,60,90,-1.312,-0.188,22.0,-144.188,-8.75,-0.25,0.052,0.096,0.007,1.1,0.22,9.35,1.46,0.18,-0.44,-0.36,0.03,9.79,1.93375,5.0,0,270,5.6,3,1015.8,44.6,-6.54
