Unnamed: 0,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 18:50:50.265000+00:00,0,60,60,60,225,1,-0.062,21.05,-49.25,-15.375,-43.5,-0.018,0.007,-0.054,-0.47,0.54,9.41,-0.64,0.52,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.316000+00:00,0,60,60,60,225,1,-0.062,21.05,-49.25,-15.375,-43.5,-0.018,0.007,-0.054,-0.47,0.54,9.41,-0.64,0.52,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.366000+00:00,0,60,60,60,225,1,-0.062,21.05,-49.25,-15.375,-43.5,-0.018,0.007,-0.054,-0.47,0.54,9.41,-0.64,0.52,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.415000+00:00,0,60,60,60,225,0.438,-0.625,21.05,-49.25,-15.375,-43.5,-0.018,0.007,-0.054,-0.47,0.54,9.41,-0.64,0.52,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.465000+00:00,0,60,60,60,225,0.438,-0.625,22,-49.25,-15.375,-43.5,-0.018,0.007,-0.054,-0.47,0.54,9.41,-0.64,0.52,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.515000+00:00,0,60,60,60,225,0.438,-0.625,22,-51.75,-10.062,-47,-0.018,0.007,-0.054,-0.47,0.54,9.41,-0.64,0.52,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.565000+00:00,0,60,60,60,225,0.438,-0.625,22,-51.75,-10.062,-47,-0.013,-0.016,0.012,-0.47,0.54,9.41,-0.64,0.52,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.615000+00:00,0,60,60,60,225,0.438,-0.625,22,-51.75,-10.062,-47,-0.013,-0.016,0.012,-0.23,0.67,9.41,-0.64,0.52,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.666000+00:00,0,60,60,60,225,0.438,-0.625,22,-51.75,-10.062,-47,-0.013,-0.016,0.012,-0.23,0.67,9.41,-0.31,0.56,-0.38,0.17,0.01,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
2024-11-25 18:50:50.716000+00:00,0,60,60,60,225,0.438,-0.625,22,-51.75,-10.062,-47,-0.013,-0.016,0.012,-0.23,0.67,9.41,-0.31,0.56,-0.38,0.07,0.11,9.8,0.14625,5,10,135,5.6,2,1016.4,44.3,-11.72
