Unnamed: 0,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:47:11.718000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:12.729000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:13.738000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:14.755000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:15.881000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:17.023000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:17.780000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:18.789000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:19.800000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:20.810000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:21.822000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:22.833000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:23.839000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:24.851000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:25.861000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:26.872000+00:00,0.0,60,60,60,45,-3.125,-1.375,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:27.910000+00:00,0.0,60,60,60,45,-3.125,-1.5,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:29.050000+00:00,0.0,60,60,60,45,-3.125,-1.5,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:30.212000+00:00,0.0,60,60,60,45,-3.125,-1.5,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
2024-11-25 20:47:30.914000+00:00,0.0,60,60,60,45,-3.125,-1.5,21.56,-58.562,9.5,-30.688,-0.001,-0.001,0.002,-0.46,0.22,9.44,0.04,-0.01,-0.31,-0.53,0.24,9.78,0.0525,-1.25,0,315,0.0,8,1015.89,44.78,-7.62
