,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 18:24:26.806000+00:00,47.18382264,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:27.734000+00:00,47.12762945,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:28.966000+00:00,47.07708981,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:30.268000+00:00,47.07675892,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:31.815000+00:00,47.07644409,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:32.774000+00:00,47.26853963,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:32.870000+00:00,47.26859418,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:34.071000+00:00,47.26874195,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:35.272000+00:00,47.26849553,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:36.825000+00:00,47.26834628,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:37.822000+00:00,47.268217,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:37.874000+00:00,47.26803151,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:39.175000+00:00,47.267977,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:40.523000+00:00,47.46002686,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:40.875000+00:00,47.65206278,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:41.831000+00:00,47.65209154,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:42.979000+00:00,47.65210591,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
2024-11-29 18:24:44.289000+00:00,47.65208605,0,0,0,1,9.562,-1.75,0.312,,-49.5,-13.375,-59,-0.068,-0.021,0.067,0.02,0.3,9.45,0.19,0.33,-0.34,-0.3,-0.05,9.8,1.5775,1.25,0,0,6,-1,,,,1,0
