,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 18:20:48.305000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,0.013,0.067,-0.138,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:19.084000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,0.013,0.067,-0.138,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:20.095000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,-0.041,0.136,-0.138,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:21.107000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,-0.052,0.05,-0.213,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:22.127000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,0.031,0.046,-0.23,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:23.137000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,-0.012,0.06,-0.148,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:24.137000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,-0.044,-0.028,-0.243,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:25.158000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,0.069,-0.038,-0.11,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:26.157000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,0.053,-0.037,-0.03,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
2024-11-29 18:20:27.164000+00:00,96.11014489,0,1,0,0,14.312,-2.5,3.312,,-84.375,16.188,-19.688,0.007,-0.104,0.087,-0.95,-0.83,9.34,-1.24,-1.57,-0.54,-0.37,-0.46,9.78,2.45125,41.25,100,0,12,-1,,,,1,0
