,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 18:38:46.881000+00:00,45.09498283,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:47.892000+00:00,44.76212555,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:49.910000+00:00,43.46461789,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:50.921000+00:00,46.13256103,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:51.931000+00:00,48.52772287,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:52.951000+00:00,51.19566601,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:53.938000+00:00,53.6761082,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:54.947000+00:00,56.15658681,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:56.033000+00:00,56.74033061,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
2024-11-29 18:38:57.034000+00:00,57.01256215,0,1,0,0,317.875,-2.375,0.938,,-72,-18.062,-26,-0.028,0.004,-0.01,-0.9,-0.47,9.4,-0.49,-0.31,-0.39,-0.41,-0.16,9.79,1.80875,1.25,0,0,6,-1,,,,0,1
