,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-29 17:49:45.123000+00:00,54.51400375901621,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:46.810000+00:00,52.761167289751725,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:47.812000+00:00,54.79147056115429,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:48.813000+00:00,54.79088729922946,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:49.813000+00:00,55.06291619840422,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:53.717000+00:00,52.8337460020328,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:54.718000+00:00,53.1058772475976,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:55.719000+00:00,53.10587653365127,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:56.719000+00:00,53.10554387214172,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:57.720000+00:00,53.10578020560342,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:49:58.721000+00:00,53.10553463561706,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:01.674000+00:00,51.41460942877355,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:02.684000+00:00,51.41513841058994,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:03.694000+00:00,52.83474425231073,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:05.694000+00:00,51.3366658300925,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:06.705000+00:00,52.83525397852115,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:07.704000+00:00,52.83531538502878,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:08.705000+00:00,52.835246121082015,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:09.714000+00:00,52.83520399190651,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:10.715000+00:00,52.83551961068905,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:11.714000+00:00,52.83538323368623,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:12.533000+00:00,54.58818620437328,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:13.534000+00:00,54.58831115658876,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
2024-11-29 17:50:14.534000+00:00,54.588857288590475,45.0,45.0,45.0,349.938,-3.312,-1.875,,-96.75,13.875,-18.375,-0.097,0.15,-0.12,-0.17,-0.68,9.4,0.49,-1.0,-0.36,-0.66,0.31,9.77,2.05625,6.25,10.0,0.0,,-1.0,,,
