,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:24:35.857000+00:00,61.76859395,60,60,60,315,0,-0.875,22,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:36.045000+00:00,61.76859395,60,60,60,315,0,-0.875,22,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:36.097000+00:00,61.76859395,60,60,60,315,0,-0.875,22,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:36.146000+00:00,61.76859395,60,60,60,315,0,-0.875,22,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:36.196000+00:00,61.76859395,60,60,60,315,0,-0.875,22,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:36.247000+00:00,61.76859395,60,60,60,315,0,-0.875,22,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:36.547000+00:00,62.1010926,60,60,60,315,0,-0.875,22,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:36.698000+00:00,62.1010926,60,60,60,315,0,-0.875,21.12,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.059000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,21.12,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.120000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-97.25,-6.188,-35.25,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.169000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,0.014,0.067,0.044,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.220000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,-0.4,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.269000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.319000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.370000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.420000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.470000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.521000+00:00,62.1010926,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.571000+00:00,62.10091277,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.620000+00:00,62.10091277,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
2024-11-25 19:24:37.671000+00:00,62.10091277,60,60,60,315,-0.062,-0.812,22,-113.188,-14.688,-19,-0.021,-0.014,-0.033,0.26,-1.06,9.3,0.27,-1.2,-0.49,-0.01,0.13,9.8,1.89375,5,10,45,5.6,2,1015.93,44.77,-7.79
