,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:22:43.339000+00:00,45.51114121,60,60,60,315,-0.938,-0.812,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:43.991000+00:00,45.51114121,60,60,60,315,-0.938,-0.812,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.041000+00:00,45.51114121,60,60,60,315,-0.938,-0.812,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.089000+00:00,45.51114121,60,60,60,315,-0.938,-0.812,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.140000+00:00,45.51114121,60,60,60,315,-0.938,-0.812,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.190000+00:00,45.51114121,60,60,60,315,-0.938,-0.812,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.240000+00:00,45.51114121,60,60,60,315,-0.938,-0.812,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.341000+00:00,45.51114121,60,60,60,315,-0.938,-0.812,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.490000+00:00,45.7031216,60,60,60,315,-0.938,-0.812,21.14,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.691000+00:00,45.7031216,60,60,60,315,-0.938,-0.812,21.14,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.740000+00:00,45.7031216,60,60,60,315,-0.938,-0.812,21.14,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:44.790000+00:00,45.7031216,60,60,60,315,-0.938,-0.812,21.14,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:45.001000+00:00,45.7031216,60,60,60,315,-1,-0.938,21.14,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:45.052000+00:00,45.7031216,60,60,60,315,-1,-0.938,22,-98.25,-21.5,-23.188,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:45.101000+00:00,45.7031216,60,60,60,315,-1,-0.938,22,-69,-10.688,-40,-0.002,-0.003,0.022,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:45.152000+00:00,45.7031216,60,60,60,315,-1,-0.938,22,-69,-10.688,-40,0.011,0.003,-0.028,0.13,-0.16,9.39,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:45.201000+00:00,45.7031216,60,60,60,315,-1,-0.938,22,-69,-10.688,-40,0.011,0.003,-0.028,-0.11,-0.27,9.47,0.29,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
2024-11-25 19:22:45.251000+00:00,45.7031216,60,60,60,315,-1,-0.938,22,-69,-10.688,-40,0.011,0.003,-0.028,-0.11,-0.27,9.47,0.05,-0.44,-0.33,-0.17,0.16,9.8,1.41625,-1.25,0,45,5,2,1015.96,44.74,-8.11
