,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 18:53:12.584000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:13.595000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:14.609000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:15.657000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:16.825000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:17.844000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:18.642000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:19.653000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:20.663000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:21.671000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:22.681000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:23.692000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:24.704000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:25.782000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:26.913000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:27.731000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:28.742000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:29.752000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:30.762000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:31.773000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:32.780000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:33.878000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:35.039000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:36.080000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:37.031000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:37.832000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:38.841000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:39.851000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:40.862000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
2024-11-25 18:53:41.873000+00:00,0,60,60,60,360,-0.75,-1.438,21.06,-111.562,-12.25,-39.5,0,0.002,0,-0.22,0.3,9.42,-0.09,0.04,-0.37,-0.13,0.25,9.8,0.14625,0,0,0,0,1,1016.38,44.26,-11.37
