,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-27 23:07:29.526000+00:00,29.91816455086887,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:31.128000+00:00,30.638760190984595,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:33.004000+00:00,31.359255133631656,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:34.415000+00:00,32.07983654713258,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:36.034000+00:00,32.690146687474574,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:37.633000+00:00,33.410625173669715,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:39.234000+00:00,34.13112346342713,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:39.433000+00:00,34.851621753184546,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:41.084000+00:00,35.46196450872988,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:43.103000+00:00,35.97431613346452,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:44.739000+00:00,36.39898893380013,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:46.640000+00:00,36.823748767694426,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:48.454000+00:00,36.7134790418047,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:48.504000+00:00,36.60320931591497,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:50.174000+00:00,36.368295882958265,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:50.243000+00:00,36.25827049533196,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:52.195000+00:00,36.02325869134845,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:53.646000+00:00,35.91307417597985,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:53.746000+00:00,35.80292843292821,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:55.548000+00:00,35.469900424909454,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:55.647000+00:00,35.26185714247323,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:57.495000+00:00,35.15168950788257,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:59.262000+00:00,35.04151409467903,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:59.315000+00:00,34.931252210621636,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:00.752000+00:00,35.041525436440395,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:00.852000+00:00,35.041630316406,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:02.533000+00:00,35.0417862492195,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:04.336000+00:00,35.04193520773906,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:04.383000+00:00,35.1522397004707,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:05.656000+00:00,35.48539600123481,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:07.344000+00:00,35.78133502056493,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:08.958000+00:00,35.96699503749328,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:09.103000+00:00,35.967077815809475,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:10.760000+00:00,35.967159358571294,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:10.860000+00:00,35.96705235314279,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:12.561000+00:00,35.966987357535025,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:12.661000+00:00,35.967001690522366,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:14.403000+00:00,35.9670627256606,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:14.632000+00:00,35.96712376079883,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:16.064000+00:00,36.17532520764515,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:16.424000+00:00,36.38352665449149,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:17.766000+00:00,36.49370684215699,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:19.452000+00:00,36.603993832151005,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:20.868000+00:00,36.839090188558416,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:20.968000+00:00,36.96392270824859,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:22.632000+00:00,36.964017835606306,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:24.170000+00:00,36.963941679128965,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:24.521000+00:00,36.963872496945534,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:25.872000+00:00,36.963757568060075,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:25.972000+00:00,36.83878196195285,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:08:27.673000+00:00,36.7285988891525,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:29.683000+00:00,36.7285988891525,15.0,15.0,15.0,337.062,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:30.690000+00:00,36.7285988891525,15.0,15.0,15.0,337.125,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:31.698000+00:00,36.7285988891525,15.0,15.0,15.0,337.062,-2.125,0.812,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:32.709000+00:00,36.7285988891525,15.0,15.0,15.0,337.0,-2.062,0.875,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:33.719000+00:00,36.7285988891525,15.0,15.0,15.0,337.0,-2.0,0.812,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:34.730000+00:00,36.7285988891525,15.0,15.0,15.0,337.0,-2.0,0.812,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:35.738000+00:00,36.7285988891525,15.0,15.0,15.0,337.0,-2.062,0.812,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
2024-11-27 23:07:36.748000+00:00,36.7285988891525,15.0,15.0,15.0,337.0,-2.125,0.75,,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.355,0.0,0.0,0.0,,-1.0,,,
