,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_1,alignment_2
2024-11-27 23:01:55.135000+00:00,29.91816455,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:01:55.185000+00:00,30.63876019,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:01:55.235000+00:00,31.35925513,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:01:58.644000+00:00,32.07983655,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:01:58.995000+00:00,32.69014669,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:01:59.044000+00:00,33.41062517,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:01:59.095000+00:00,34.13112346,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:02.236000+00:00,34.85162175,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:02.337000+00:00,35.46196451,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:02.437000+00:00,35.97431613,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:02.536000+00:00,36.39898893,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:02.894000+00:00,36.82374877,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:06.176000+00:00,36.71347904,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:06.226000+00:00,36.60320932,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:06.275000+00:00,36.36829588,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:06.340000+00:00,36.2582705,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:09.443000+00:00,36.02325869,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:09.542000+00:00,35.91307418,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:09.643000+00:00,35.80292843,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:12.994000+00:00,35.46990042,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:13.054000+00:00,35.26185714,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:13.105000+00:00,35.15168951,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:16.048000+00:00,35.04151409,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:16.255000+00:00,34.93125221,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:16.306000+00:00,35.04152544,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:16.356000+00:00,35.04163032,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:19.351000+00:00,35.04178625,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:19.451000+00:00,35.04193521,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:19.551000+00:00,35.1522397,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:23.094000+00:00,35.485396,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
