,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-27 23:04:04.257000+00:00,49.41475310010376,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:05.358000+00:00,49.8340087469094,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:06.630000+00:00,49.83430031113182,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:07.659000+00:00,50.06179692391105,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:09.103000+00:00,50.06198486118615,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:10.103000+00:00,50.28929926065749,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:11.174000+00:00,50.289521904971316,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:12.263000+00:00,50.70875422330767,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:13.701000+00:00,50.70896717332791,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
2024-11-27 23:04:15.151000+00:00,50.51699967146263,30.0,30.0,30.0,341.188,-1.5,1.125,,-45.5,-27.5,-18.375,-0.008,-0.012,0.002,-0.31,-0.21,9.45,-0.04,-0.01,-0.34,-0.26,-0.19,9.8,1.5425,-1.25,0.0,0.0,,-1.0,,,
