,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:42:32.779000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.210000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.310000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.313000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.360000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.410000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.460000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.510000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.610000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
2024-11-25 19:42:33.660000+00:00,57.687,60,60,60,90,90,0,22,-139.75,-16.25,-36.188,0.01,-0.001,-0.049,-1.04,0.12,9.43,-0.68,0.13,-0.36,-0.35,0,9.8,1.97625,5,10,90,3.9,3,1015.8,44.6,-6.54
