,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:44:24.733000+00:00,53.819,60,60,60,270,-1.625,-0.312,21.21,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:25.163000+00:00,53.819,60,60,60,270,-1.625,-0.312,21.21,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:25.363000+00:00,53.819,60,60,60,270,-1.625,-0.312,21.21,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:25.412000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:25.462000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:25.513000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:25.563000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:25.723000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:25.984000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.194000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.285000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.288000+00:00,53.819,60,60,60,270,-1.625,-0.312,21.21,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.333000+00:00,53.819,60,60,60,270,-1.625,-0.312,21.21,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.384000+00:00,53.819,60,60,60,270,-1.625,-0.312,21.21,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.433000+00:00,53.819,60,60,60,270,-1.625,-0.312,21.21,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.483000+00:00,53.819,60,60,60,270,-1.625,-0.312,21.21,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.533000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-79.375,-13.5,-34.5,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
2024-11-25 19:44:26.583000+00:00,53.819,60,60,60,270,-1.625,-0.312,22,-78.5,-18.375,-31.062,0.002,-0.003,-0.004,-0.02,-0.11,9.57,0.58,0.36,-0.23,-0.28,0.06,9.8,1.58375,0,0,90,1.3,3,1015.77,44.6,-6.3
