,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:47:29.132000+00:00,0,60,60,60,270,-1.75,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:30.273000+00:00,0,60,60,60,270,-1.75,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:31.056000+00:00,0,60,60,60,270,-1.75,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:32.064000+00:00,0,60,60,60,270,-1.75,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:33.077000+00:00,0,60,60,60,270,-1.75,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:34.086000+00:00,0,60,60,60,270,-1.75,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:35.096000+00:00,0,60,60,60,270,-1.75,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:36.106000+00:00,0,60,60,60,270,-1.75,-0.312,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:37.161000+00:00,0,60,60,60,270,-1.688,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:38.192000+00:00,0,60,60,60,270,-1.688,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:39.233000+00:00,0,60,60,60,270,-1.688,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:40.285000+00:00,0,60,60,60,270,-1.688,-0.25,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
2024-11-25 19:47:41.426000+00:00,0,60,60,60,270,-1.75,-0.188,21.18,-87.688,-14.188,-22.375,0.004,0.004,0.003,-0.27,0.11,9.43,0.03,-0.07,-0.37,-0.3,0.04,9.8,0.16,-1.25,0,90,0,3,1015.71,44.56,-5.96
