,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 17:37:29.524000+00:00,58.02,60,45,45,335.562,0.625,0.188,21.11,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:29.969000+00:00,58.02,60,45,45,335.562,0.625,0.188,21.11,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:30.167000+00:00,58.02,60,45,45,335.562,0.625,0.188,21.11,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:30.532000+00:00,58.02,60,45,45,335.562,0.625,0.188,21.11,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:30.600000+00:00,58.02,60,45,45,335.562,0.625,0.188,22,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:30.648000+00:00,58.02,60,45,45,335.562,0.625,0.188,22,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:30.697000+00:00,58.02,60,45,45,335.562,0.625,0.188,22,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:30.746000+00:00,58.02,60,45,45,335.562,0.625,0.188,22,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:30.794000+00:00,58.02,60,45,45,335.562,0.625,0.188,22,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
2024-11-26 17:37:30.843000+00:00,58.02,60,45,45,335.562,0.625,0.188,22,-72.875,-1.688,-34.375,0.006,0.032,0.006,-0.23,0.06,9.29,-0.35,0.09,-0.5,0.11,-0.03,9.8,1.89,7.5,30,45,5.6,1,1023.69,42.55,-72.6
