,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:32:35.004000+00:00,50.23625237,60,60,45,360,-0.188,0.062,21.54,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.104000+00:00,50.47305078,60,60,45,360,-0.188,0.062,21.54,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.340000+00:00,50.47305078,60,60,45,360,-0.188,0.062,21.54,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.553000+00:00,50.47305078,60,60,45,360,-0.188,0.062,21.54,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.603000+00:00,50.47305078,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.651000+00:00,50.47305078,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.713000+00:00,50.47305078,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.767000+00:00,50.47305078,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.821000+00:00,50.47305078,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:35.871000+00:00,50.47305078,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:36.205000+00:00,50.68455846,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:36.305000+00:00,50.87491537,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:36.388000+00:00,50.87491537,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:36.435000+00:00,50.87491537,60,60,45,360,-0.188,0.062,23,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:36.485000+00:00,50.87491537,60,60,45,360,-0.188,0.062,21.54,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:36.533000+00:00,50.87491537,60,60,45,360,-0.188,0.062,21.54,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
2024-11-25 21:32:36.585000+00:00,50.87491537,60,60,45,360,-0.188,0.062,21.54,13.562,44.688,-26.062,-0.002,-0.017,-0.022,0.11,0.36,9.48,0.14,0.38,-0.32,-0.03,-0.04,9.8,1.595,-1.25,0,0,2.6,1,1016.03,45.05,-8.32
