,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:14:33.939000+00:00,60.02047866,60,45,45,360,0.125,-0.875,21.54,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.248000+00:00,60.02047866,60,45,45,360,0.125,-0.875,21.54,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.307000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.364000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.421000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.471000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.522000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.571000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.622000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.677000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.732000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.782000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:34.988000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.058000+00:00,60.02047866,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.122000+00:00,60.02047866,60,45,45,360,0.125,-0.875,21.54,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.172000+00:00,60.02047866,60,45,45,360,0.125,-0.875,21.54,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.222000+00:00,60.02047866,60,45,45,360,0.125,-0.875,21.54,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.273000+00:00,60.02047866,60,45,45,360,0.125,-0.875,21.54,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.329000+00:00,61.58778414,60,45,45,360,0.125,-0.875,21.54,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.388000+00:00,61.58778414,60,45,45,360,0.125,-0.875,21.54,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.443000+00:00,61.58778414,60,45,45,360,0.125,-0.875,23,-141.188,-1.25,-88.375,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.494000+00:00,61.58778414,60,45,45,360,0.125,-0.875,23,-147.375,-0.25,-60.875,0.039,0.01,-0.076,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.556000+00:00,61.58778414,60,45,45,360,0.125,-0.875,23,-147.375,-0.25,-60.875,0.016,-0.034,0.042,-0.01,-0.08,9.45,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.603000+00:00,61.58778414,60,45,45,360,0.125,-0.875,23,-147.375,-0.25,-60.875,0.016,-0.034,0.042,0.29,0.54,9.3,-0.04,-0.24,-0.35,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.660000+00:00,61.58778414,60,45,45,360,0.125,-0.875,23,-147.375,-0.25,-60.875,0.016,-0.034,0.042,0.29,0.54,9.3,0.27,0.38,-0.5,0.02,0.16,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.714000+00:00,61.58778414,60,45,45,360,0.125,-0.875,23,-147.375,-0.25,-60.875,0.016,-0.034,0.042,0.29,0.54,9.3,0.27,0.38,-0.5,0.02,0.15,9.8,2.06875,6.25,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.765000+00:00,61.58778414,60,45,45,360,0.125,-0.875,23,-147.375,-0.25,-60.875,0.016,-0.034,0.042,0.29,0.54,9.3,0.27,0.38,-0.5,0.02,0.15,9.8,2.06875,3.75,10,0,2.8,1,1015.89,45.02,-7.43
2024-11-25 21:14:35.819000+00:00,61.58778414,60,45,45,360,0.125,-0.875,23,-147.375,-0.25,-60.875,0.016,-0.034,0.042,0.29,0.54,9.3,0.27,0.38,-0.5,0.02,0.15,9.8,1.92625,3.75,10,0,2.8,1,1015.89,45.02,-7.43
