,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:25:03.411000+00:00,56.77438055,45,45,45,315,0.5,0.625,21.54,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:03.960000+00:00,56.77438055,45,45,45,315,0.5,0.625,21.54,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:04.208000+00:00,56.77438055,45,45,45,315,0.5,0.625,21.54,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:04.421000+00:00,56.77438055,45,45,45,315,0.5,0.625,21.54,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:04.474000+00:00,56.77438055,45,45,45,315,0.5,0.625,23,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:04.530000+00:00,56.77438055,45,45,45,315,0.5,0.625,23,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:04.591000+00:00,56.77438055,45,45,45,315,0.5,0.625,23,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:04.651000+00:00,56.77438055,45,45,45,315,0.5,0.625,23,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:04.709000+00:00,56.77438055,45,45,45,315,0.5,0.625,23,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
2024-11-25 21:25:04.758000+00:00,56.77438055,45,45,45,315,0.5,0.625,23,-60.25,-14.375,-28.25,-0.009,-0.022,-0.048,-0.43,-0.45,9.53,-0.52,-0.34,-0.27,0.09,-0.1,9.8,1.8875,7.5,10,45,3,1,1016.03,45.09,-8.92
