,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:26:33.183000+00:00,57.34729675,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.239000+00:00,57.01433027,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.293000+00:00,57.01433027,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.347000+00:00,57.01433027,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.402000+00:00,57.01433027,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.450000+00:00,57.01433027,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.501000+00:00,57.01433027,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.556000+00:00,57.01433027,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.617000+00:00,57.01433027,45,45,45,315,-0.25,0.188,23,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:33.917000+00:00,57.01433027,45,45,45,315,-0.25,0.188,21.54,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:34.122000+00:00,57.01433027,45,45,45,315,-0.25,0.188,21.54,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:34.173000+00:00,57.01433027,45,45,45,315,-0.25,0.188,21.54,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
2024-11-25 21:26:34.224000+00:00,57.01433027,45,45,45,315,-0.25,0.188,21.54,-106.688,-3.188,4.562,-0.008,0.002,0.01,0.1,0.35,9.53,0.14,0.39,-0.26,-0.04,-0.05,9.8,1.69,0,0,45,1.7,1,1016.01,45.03,-8.28
