,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:11:36.001000+00:00,59.191,60,60,60,315,0.875,0.812,22,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:36.051000+00:00,59.191,60,60,60,315,0.875,0.812,22,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:36.102000+00:00,59.191,60,60,60,315,0.875,0.812,22,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:36.151000+00:00,59.191,60,60,60,315,0.875,0.812,22,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:36.552000+00:00,59.191,60,60,60,315,0.875,0.812,22,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:36.931000+00:00,59.191,60,60,60,315,0.875,0.812,21.1,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:37.032000+00:00,59.191,60,60,60,315,0.875,0.812,21.1,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:37.132000+00:00,59.191,60,60,60,315,0.875,0.75,21.1,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:37.183000+00:00,59.191,60,60,60,315,0.875,0.75,22,-68.062,-7.188,-32.375,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:37.231000+00:00,59.191,60,60,60,315,0.875,0.75,22,-64.375,-8.188,-34.875,-0.001,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
2024-11-25 19:11:37.283000+00:00,59.191,60,60,60,315,0.875,0.75,22,-64.375,-8.188,-34.875,-0.006,0,-0.041,-0.8,0.16,9.38,-0.95,0.29,-0.41,0.15,-0.12,9.8,1.93875,3.75,10,45,2.8,1,1016.12,44.61,-9.3
