,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:15:13.954000+00:00,0,60,60,60,270,-1.25,0,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:14.964000+00:00,0,60,60,60,270,-1.188,0.125,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:15.972000+00:00,0,60,60,60,270,-1.188,0.062,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:17.008000+00:00,0,60,60,60,270,-1.312,0.062,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:18.166000+00:00,0,60,60,60,270,-1.438,0,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:19.204000+00:00,0,60,60,60,270,-1.375,0,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:20.015000+00:00,0,60,60,60,270,-1.438,0.062,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:21.023000+00:00,0,60,60,60,270,-1.562,0,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:22.033000+00:00,0,60,60,60,270,-1.562,0,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
2024-11-25 19:15:23.044000+00:00,0,60,60,60,270,-1.5,-0.062,21.11,-90.188,-14.75,-27,-0.019,0,-0.021,-0.4,-0.56,9.45,-0.18,-0.55,-0.35,-0.22,-0.01,9.8,0.09875,-1.25,0,90,2.2,1,1016.09,44.72,-9.06
