,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:16:32.711000+00:00,0,60,60,60,270,-1.562,0,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:33.721000+00:00,0,60,60,60,270,-1.562,0,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:34.779000+00:00,0,60,60,60,270,-1.562,0,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:35.919000+00:00,0,60,60,60,270,-1.625,0,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:37.061000+00:00,0,60,60,60,270,-1.625,0,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:37.759000+00:00,0,60,60,60,270,-1.625,-0.062,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:38.769000+00:00,0,60,60,60,270,-1.625,-0.125,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:39.778000+00:00,0,60,60,60,270,-1.688,-0.188,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:40.789000+00:00,0,60,60,60,270,-1.688,-0.188,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
2024-11-25 19:16:41.800000+00:00,0,60,60,60,270,-1.688,-0.188,21.11,-90.25,-15,-26.5,-0.004,-0.007,0.001,-0.29,0.06,9.42,-0.01,-0.02,-0.34,-0.26,0,9.8,0.16125,-1.25,0,90,2.5,1,1016.08,44.74,-9.15
