,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:10:15.810000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,21.56,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:16.347000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,21.56,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:16.573000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,21.56,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:16.818000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,21.56,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:16.872000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,23,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:16.933000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,23,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:16.983000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,23,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:17.033000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,23,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:17.084000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,23,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
2024-11-25 21:10:17.133000+00:00,61.50231393,45,45,45,360,-0.438,-0.25,23,-59.75,-16.688,-23.688,-0.052,-0.018,0.06,-0.04,-0.35,9.53,0.03,-0.4,-0.26,-0.07,0.04,9.8,1.95625,6.25,10,0,3.4,1,1015.93,45.08,-7.84
