,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:08:45.780000+00:00,52.91135255,45,45,45,360,-0.75,-0.438,23,-98.375,1.375,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:45.939000+00:00,52.91135255,45,45,45,360,-0.75,-0.438,23,-98.375,1.375,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:45.990000+00:00,52.91135255,45,45,45,360,-0.75,-0.438,23,-98.375,1.375,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:46.040000+00:00,52.91135255,45,45,45,360,-0.75,-0.438,23,-98.375,1.375,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:46.391000+00:00,52.91135255,45,45,45,360,-0.75,-0.438,21.57,-98.375,1.375,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:46.881000+00:00,52.91129295,45,45,45,360,-0.75,-0.438,21.57,-98.375,1.375,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:46.946000+00:00,52.91129295,45,45,45,360,-0.75,-0.562,21.57,-98.375,1.375,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:46.996000+00:00,52.91129295,45,45,45,360,-0.75,-0.562,23,-98.375,1.375,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:47.042000+00:00,52.91129295,45,45,45,360,-0.75,-0.562,23,-117.25,-15.5,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
2024-11-25 21:08:47.093000+00:00,52.91129295,45,45,45,360,-0.75,-0.562,23,-117.25,-15.5,13.875,0.003,-0.014,0.023,-0.29,0.43,9.51,-0.15,0.33,-0.28,-0.13,0.09,9.8,1.59875,0,0,0,2.1,1,1015.93,45.02,-7.76
