,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 18:50:38.920000+00:00,64.012,60,60,60,360,1.125,0.062,22,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.121000+00:00,64.012,60,60,60,360,1.125,0.062,22,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.170000+00:00,64.012,60,60,60,360,1.125,0.062,22,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.221000+00:00,64.012,60,60,60,360,1.125,0.062,22,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.271000+00:00,64.012,60,60,60,360,1.125,0.062,22,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.320000+00:00,64.012,60,60,60,360,1.125,0.062,22,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.582000+00:00,64.012,60,60,60,360,1.125,0.062,21.05,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.782000+00:00,64.012,60,60,60,360,1.125,0.062,21.05,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.832000+00:00,64.012,60,60,60,360,1.125,0.062,21.05,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:39.882000+00:00,64.012,60,60,60,360,1.125,0.062,21.05,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.129000+00:00,64.012,60,60,60,360,0.938,0,21.05,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.184000+00:00,64.012,60,60,60,360,0.938,0,22,-50.75,-12.875,-41.062,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.232000+00:00,64.012,60,60,60,360,0.938,0,22,-55.188,-6.75,-43.562,-0.021,-0.038,-0.107,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.282000+00:00,64.012,60,60,60,360,0.938,0,22,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,-1.12,0.39,9.55,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.333000+00:00,64.012,60,60,60,360,0.938,0,22,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.383000+00:00,64.012,60,60,60,360,0.938,0,22,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.432000+00:00,64.012,60,60,60,360,0.938,0,22,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.483000+00:00,64.012,60,60,60,360,0.938,0,22,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.532000+00:00,64.012,60,60,60,360,0.938,0,22,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.583000+00:00,64.012,60,60,60,360,0.938,0,21.05,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.633000+00:00,64.012,60,60,60,360,0.938,0,21.05,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.683000+00:00,64.012,60,60,60,360,0.938,0,21.05,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.733000+00:00,64.012,60,60,60,360,0.938,0,21.05,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,7.5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.783000+00:00,64.012,60,60,60,360,0.938,0,21.05,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.91625,5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.836000+00:00,64.012,60,60,60,360,0.938,0,21.05,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.835,5,0,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:40.883000+00:00,64.012,60,60,60,360,0.938,0,21.05,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.136000+00:00,64.012,60,60,60,360,1.125,-0.062,21.05,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.195000+00:00,64.012,60,60,60,360,1.125,-0.062,22,-55.188,-6.75,-43.562,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.244000+00:00,64.012,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.011,-0.027,-0.012,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.293000+00:00,64.012,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.33,-0.22,9.32,0.15,-0.21,-0.47,0.17,0,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.343000+00:00,64.012,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.15,-0.21,-0.47,0.17,0,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.395000+00:00,64.012,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.17,0,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.444000+00:00,64.012,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.494000+00:00,61.752,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.835,5,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.546000+00:00,61.752,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.835,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.594000+00:00,61.752,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.643000+00:00,61.752,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.694000+00:00,61.752,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.744000+00:00,61.752,60,60,60,360,1.125,-0.062,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.795000+00:00,61.752,60,60,60,360,1.125,-0.062,21.05,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.844000+00:00,61.752,60,60,60,360,1.125,-0.062,21.05,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.894000+00:00,61.752,60,60,60,360,1.125,-0.062,21.05,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:41.944000+00:00,61.752,60,60,60,360,1.125,-0.062,21.05,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:42.143000+00:00,61.752,60,60,60,360,0.75,-0.125,21.05,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:42.208000+00:00,61.752,60,60,60,360,0.75,-0.125,22,-83.562,-8.562,-36.188,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
2024-11-25 18:50:42.256000+00:00,61.752,60,60,60,360,0.75,-0.125,22,-104.375,-18.188,-19.375,-0.001,-0.027,-0.032,0.38,1.01,9.5,0.19,0.99,-0.29,0.19,0.01,9.8,1.91875,10,10,0,2.8,1,1016.4,44.29,-11.72
