,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 18:47:10.941000+00:00,42.10892854,60,60,60,360,-0.688,-1.25,21.02,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:11.136000+00:00,42.10892854,60,60,60,360,-0.688,-1.25,21.02,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:11.879000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,21.02,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.143000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,21.02,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.190000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.238000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.288000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.347000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.397000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.447000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.498000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.548000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
2024-11-25 18:47:12.598000+00:00,42.25170724,60,60,60,360,-0.688,-1.25,22,-109.188,-17.688,-9.375,-0.008,-0.02,0,-0.27,0.43,9.46,-0.15,0.21,-0.34,-0.11,0.22,9.8,1.41625,0,0,0,5,1,1016.44,44.26,-12.07
