,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:23:52.774000+00:00,59.63102207,60,60,60,135,-3.125,-0.062,23,-97.562,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:52.823000+00:00,59.63102207,60,60,60,135,-3.125,-0.062,23,-97.562,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:52.883000+00:00,59.63102207,60,60,60,135,-3.125,-0.062,23,-97.562,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:53.412000+00:00,59.63102207,60,60,60,135,-3.125,-0.062,23,-97.562,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:53.677000+00:00,59.63102207,60,60,60,135,-3.125,-0.062,21.36,-97.562,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:53.870000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,21.36,-97.562,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:53.920000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-97.562,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:53.970000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.020000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.070000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.120000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.170000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.220000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.269000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.319000+00:00,59.63102207,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.379000+00:00,61.1979672,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.759000+00:00,61.1979672,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.818000+00:00,61.1979672,60,60,60,135,-3.25,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.878000+00:00,61.1979672,60,60,60,135,-3.25,-0.062,21.36,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.928000+00:00,61.1979672,60,60,60,135,-3.25,-0.062,21.36,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:54.978000+00:00,61.1979672,60,60,60,135,-3.25,-0.062,21.36,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.028000+00:00,61.1979672,60,60,60,135,-3.25,-0.062,21.36,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.087000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,21.36,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.137000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-75.375,0.062,-24.188,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.197000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,-0.031,0.017,-0.037,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.247000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.8,-0.07,9.5,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.297000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,-0.24,-0.09,-0.28,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.347000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.56,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.397000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,1.93125,5,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.447000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,1.93125,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.502000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.562000+00:00,61.1979672,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.622000+00:00,61.19791079,60,60,60,135,-3.188,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.770000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.857000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-64.875,-6.5,-29.062,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.860000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-63.562,-2,-33.188,0.031,0.001,-0.07,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.916000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-63.562,-2,-33.188,-0.009,0.019,-0.019,-0.56,-0.16,9.48,0,-0.18,-0.31,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:55.966000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-63.562,-2,-33.188,-0.009,0.019,-0.019,-0.56,0.19,9.29,0,-0.18,-0.31,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:56.016000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-63.562,-2,-33.188,-0.009,0.019,-0.019,-0.56,0.19,9.29,0,0.17,-0.49,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:56.066000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-63.562,-2,-33.188,-0.009,0.019,-0.019,-0.56,0.19,9.29,0,0.17,-0.49,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:56.126000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-63.562,-2,-33.188,-0.009,0.019,-0.019,-0.56,0.19,9.29,0,0.17,-0.49,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
2024-11-25 20:23:56.186000+00:00,61.19791079,60,60,60,135,-3.25,-0.062,23,-63.562,-2,-33.188,-0.009,0.019,-0.019,-0.56,0.19,9.29,0,0.17,-0.49,-0.55,0.01,9.79,2.0325,6.25,10,225,2.8,6,1015.86,44.85,-6.92
