,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:25:39.302000+00:00,48.04779101,60,60,60,135,-3.062,-0.438,21.33,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:39.402000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,21.33,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:39.571000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,21.33,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:39.931000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,21.33,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:39.982000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.030000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.082000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.134000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.188000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.249000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.495000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.548000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.592000+00:00,48.27500183,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.642000+00:00,48.27518654,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.692000+00:00,48.27518654,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
2024-11-25 20:25:40.742000+00:00,48.27518654,60,60,60,135,-3.062,-0.438,23,-77.062,2.75,-19.375,-0.047,-0.024,-0.058,-0.79,0.17,9.41,-0.27,0.09,-0.37,-0.52,0.07,9.79,1.69,0,0,225,2.5,6,1015.8,44.89,-6.81
