,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:15:13.361000+00:00,32.473,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:13.561000+00:00,32.473,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:13.902000+00:00,32.473,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:13.993000+00:00,32.473,60,60,60,135,-3.375,-0.625,22,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:13.997000+00:00,32.473,60,60,60,135,-3.375,-0.625,22,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.042000+00:00,32.473,60,60,60,135,-3.375,-0.625,22,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.092000+00:00,32.473,60,60,60,135,-3.375,-0.625,22,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.143000+00:00,32.473,60,60,60,135,-3.375,-0.625,22,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.193000+00:00,32.473,60,60,60,135,-3.375,-0.625,22,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.343000+00:00,32.473,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.543000+00:00,32.473,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.593000+00:00,32.473,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.648000+00:00,32.473,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.709000+00:00,32.473,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.764000+00:00,32.769,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:14.911000+00:00,32.769,60,60,60,135,-3.375,-0.625,21.23,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:15.005000+00:00,32.769,60,60,60,135,-3.375,-0.625,22,-87.688,0.5,-28.188,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:15.008000+00:00,32.769,60,60,60,135,-3.375,-0.625,22,-120.562,16.25,-0.5,0.007,0.027,0,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:15.053000+00:00,32.769,60,60,60,135,-3.375,-0.625,22,-120.562,16.25,-0.5,-0.017,-0.004,-0.018,-0.55,-0.12,9.44,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:15.104000+00:00,32.769,60,60,60,135,-3.375,-0.625,22,-120.562,16.25,-0.5,-0.017,-0.004,-0.018,0.01,-0.43,9.4,0.03,-0.23,-0.34,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:15.154000+00:00,32.769,60,60,60,135,-3.375,-0.625,22,-120.562,16.25,-0.5,-0.017,-0.004,-0.018,0.01,-0.43,9.4,0.6,-0.54,-0.38,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:15.204000+00:00,32.769,60,60,60,135,-3.375,-0.625,22,-120.562,16.25,-0.5,-0.017,-0.004,-0.018,0.01,-0.43,9.4,0.6,-0.54,-0.38,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
2024-11-25 20:15:15.255000+00:00,32.769,60,60,60,135,-3.375,-0.625,22,-120.562,16.25,-0.5,-0.017,-0.004,-0.018,0.01,-0.43,9.4,0.6,-0.54,-0.38,-0.58,0.11,9.78,1.35375,0,0,225,2.9,5,1015.71,45.06,-5.83
