,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:11:30.167000+00:00,62.102,60,60,60,180,-4.5,-1.375,21.23,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:30.988000+00:00,62.102,60,60,60,180,-4.5,-1.375,21.23,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.188000+00:00,64.085,60,60,60,180,-4.5,-1.375,21.23,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.237000+00:00,64.085,60,60,60,180,-4.5,-1.375,21.23,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.288000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.347000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.398000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.447000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.501000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.554000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.722000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.809000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
2024-11-25 20:11:31.813000+00:00,64.085,60,60,60,180,-4.5,-1.375,22,-90.188,-9.562,-25.375,-0.04,-0.058,-0.041,-0.7,-0.9,9.54,0.07,-1.13,-0.22,-0.76,0.23,9.77,2.01625,5,10,180,3,5,1015.71,44.95,-6.03
