,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:09:07.680000+00:00,56.656,60,60,60,180,-4.062,-1.562,21.29,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:08.253000+00:00,56.656,60,60,60,180,-4.062,-1.562,21.29,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:08.782000+00:00,57.617,60,60,60,180,-4.062,-1.562,21.29,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:08.869000+00:00,57.617,60,60,60,180,-4.062,-1.562,21.29,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:08.872000+00:00,57.617,60,60,60,180,-4.062,-1.562,23,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:08.917000+00:00,57.617,60,60,60,180,-4.062,-1.562,23,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:08.977000+00:00,57.617,60,60,60,180,-4.062,-1.562,23,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:09.026000+00:00,57.617,60,60,60,180,-4.062,-1.562,23,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:09.076000+00:00,57.617,60,60,60,180,-4.062,-1.562,23,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
2024-11-25 20:09:09.136000+00:00,57.617,60,60,60,180,-4.062,-1.562,23,-127.188,-12.688,14.75,-0.013,0.024,0.027,-0.15,0.18,9.49,0.54,-0.08,-0.28,-0.69,0.27,9.77,1.76,1.25,0,180,1.9,5,1015.74,44.81,-6.29
