,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:40:47.995000+00:00,0,60,60,60,360,-3.062,-1,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:49.004000+00:00,0,60,60,60,360,-3.062,-1,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:50.016000+00:00,0,60,60,60,360,-3,-0.938,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:51.122000+00:00,0,60,60,60,360,-3,-1,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:52.275000+00:00,0,60,60,60,360,-3,-0.938,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:53.046000+00:00,0,60,60,60,360,-3,-0.875,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:54.056000+00:00,0,60,60,60,360,-3.062,-0.938,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:55.065000+00:00,0,60,60,60,360,-3.062,-0.875,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:56.075000+00:00,0,60,60,60,360,-3,-0.938,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:57.085000+00:00,0,60,60,60,360,-3.062,-0.875,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:58.095000+00:00,0,60,60,60,360,-2.938,-0.875,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:40:59.107000+00:00,0,60,60,60,360,-3,-0.938,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:41:00.241000+00:00,0,60,60,60,360,-3,-1.062,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
2024-11-25 20:41:01.381000+00:00,0,60,60,60,360,-3,-1.188,21.52,-93.875,3.188,-19.875,-0.004,0.009,0.014,-0.25,0.12,9.41,0.27,-0.05,-0.37,-0.52,0.17,9.79,0.1425,0,0,315,3,8,1015.9,44.65,-7.45
