,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:34:14.764000+00:00,45.51114121,60,60,60,270,-3.312,-1.125,22,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.113000+00:00,45.51114121,60,60,60,270,-3.312,-1.125,22,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.165000+00:00,45.51114121,60,60,60,270,-3.312,-1.125,22,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.215000+00:00,45.51114121,60,60,60,270,-3.312,-1.125,22,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.265000+00:00,45.51114121,60,60,60,270,-3.312,-1.125,22,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.315000+00:00,45.51114121,60,60,60,270,-3.312,-1.125,22,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.365000+00:00,45.51114121,60,60,60,270,-3.312,-1.125,22,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.415000+00:00,45.51114121,60,60,60,270,-3.312,-1.125,22,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.565000+00:00,45.7031216,60,60,60,270,-3.312,-1.125,21.43,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
2024-11-25 20:34:15.766000+00:00,45.7031216,60,60,60,270,-3.312,-1.125,21.43,-63.062,9.25,-27.5,-0.008,0.003,-0.02,-0.41,-0.22,9.43,0.15,-0.42,-0.35,-0.56,0.2,9.78,1.41625,-2.5,0,90,5,7,1015.84,44.9,-6.86
