,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 18:50:36.907720+00:00,17.941225997578638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:40.404518+00:00,17.15815799210921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:43.776912+00:00,17.791596773396492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:46.975354+00:00,18.759150237200625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:50.161687+00:00,18.830202701074764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:53.132131+00:00,20.199055920698047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:56.439314+00:00,18.14250349122718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:00.105993+00:00,16.363324257994844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:04.143297+00:00,14.861520439959829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:08.103274+00:00,15.152061446777303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:11.851558+00:00,16.006759446223057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:15.223097+00:00,17.79614118182167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:18.243885+00:00,19.86239398848595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:21.121205+00:00,20.852512970766423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:24.003081+00:00,20.81975095545174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:27.029657+00:00,19.824508623910624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:30.370350+00:00,17.96093629618295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:34.418175+00:00,14.8227372932689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:36.709000+00:00,,344.75,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:37.755000+00:00,,344.75,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:38.811000+00:00,,344.625,-2.25,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:39.865000+00:00,,344.6875,-2.25,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:40.914000+00:00,,344.75,-2.375,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:41.962000+00:00,,344.5,-2.3125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:43.011000+00:00,,344.375,-2.1875,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:44.045000+00:00,,344.5625,-2.1875,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:45.078000+00:00,,344.5625,-2.125,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:46.114000+00:00,,344.4375,-2.125,-1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:47.154000+00:00,,344.5625,-2.1875,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:48.186000+00:00,,344.5625,-2.125,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:49.218000+00:00,,344.5625,-2.3125,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:50.251000+00:00,,344.4375,-2.25,-1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:51.297000+00:00,,344.4375,-2.25,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:52.343000+00:00,,344.375,-2.3125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:53.394000+00:00,,344.4375,-2.3125,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:54.438000+00:00,,344.4375,-2.25,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:55.472000+00:00,,344.375,-2.375,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:56.519000+00:00,,344.4375,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:57.569000+00:00,,344.5,-2.25,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:58.620000+00:00,,344.4375,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:50:59.671000+00:00,,344.5,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:00.705000+00:00,,344.375,-2.3125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:01.758000+00:00,,344.4375,-2.25,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:02.802000+00:00,,344.3125,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:03.839000+00:00,,344.5,-2.3125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:04.885000+00:00,,344.3125,-2.25,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:05.930000+00:00,,344.1875,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:06.981000+00:00,,344.25,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:08.030000+00:00,,344.3125,-2.1875,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:09.064000+00:00,,344.1875,-2.1875,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:10.114000+00:00,,344.1875,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:51:11.162000+00:00,,344.125,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
