,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 18:38:47.812251+00:00,38.847676555866805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:49.316322+00:00,39.889887543207344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:50.877816+00:00,38.424654490987336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:52.546254+00:00,35.960912275537446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:54.265021+00:00,34.91119750573106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:56.001018+00:00,34.562206019711006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:57.738912+00:00,34.524491968808384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:59.462454+00:00,34.812543393213375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:01.136844+00:00,35.83362748742945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:02.807986+00:00,35.90338460888777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:04.503302+00:00,35.390127342629484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:06.193751+00:00,35.49385404513728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:07.892050+00:00,35.32831869662496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:09.556214+00:00,36.05440089261269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:11.182578+00:00,36.89298657455914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:12.787200+00:00,37.39187541937259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:14.402796+00:00,37.137376789552704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:16.012952+00:00,37.26620019668328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:17.576538+00:00,38.37418338401183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:19.172634+00:00,37.58761855245582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:20.743188+00:00,38.20424521570688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:22.321006+00:00,38.02897723761053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:23.938782+00:00,37.08605274078545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:25.505438+00:00,38.29841592954966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:27.100984+00:00,37.606530664943584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:28.686221+00:00,37.84651436218041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:30.316154+00:00,36.810777152233655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:31.943009+00:00,36.8841566152753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:33.456913+00:00,39.629945746624834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:34.938401+00:00,40.49922898687491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:36.426850+00:00,40.310672744117866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:37.903779+00:00,40.6247728904988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:39.468803+00:00,38.338078527646616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:41.131336+00:00,36.0896738440676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:42.785913+00:00,36.26288774550497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:44.419558+00:00,36.7273573732882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:46.058331+00:00,36.61399506494716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:47.746000+00:00,,358.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:48.795000+00:00,,357.8125,-2.1875,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:49.831000+00:00,,357.875,-1.9375,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:50.863000+00:00,,357.875,-1.9375,-1.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:51.920000+00:00,,357.875,-2.0,-1.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:52.973000+00:00,,357.8125,-2.0625,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:54.017000+00:00,,357.6875,-2.0,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:55.053000+00:00,,357.5625,-1.9375,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:56.098000+00:00,,357.625,-1.75,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:57.145000+00:00,,357.5,-1.8125,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:58.196000+00:00,,357.5,-1.875,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:38:59.243000+00:00,,357.4375,-1.875,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:00.302000+00:00,,357.5625,-1.875,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:01.337000+00:00,,357.375,-1.875,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:02.370000+00:00,,357.1875,-1.8125,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:03.404000+00:00,,357.3125,-1.8125,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:04.440000+00:00,,357.5,-2.0,-1.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:05.484000+00:00,,357.375,-1.9375,-1.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:06.531000+00:00,,357.375,-1.875,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:07.582000+00:00,,357.375,-1.9375,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:08.626000+00:00,,357.25,-1.875,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:09.675000+00:00,,357.1875,-1.8125,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:10.724000+00:00,,357.1875,-1.75,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:11.782000+00:00,,357.0625,-1.6875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:12.832000+00:00,,357.1875,-1.8125,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:13.866000+00:00,,357.1875,-1.9375,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:14.913000+00:00,,357.1875,-1.9375,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:15.960000+00:00,,357.25,-1.8125,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:17.007000+00:00,,357.125,-1.8125,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:18.057000+00:00,,357.1875,-1.75,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:19.107000+00:00,,357.1875,-1.8125,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:20.159000+00:00,,357.125,-1.6875,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:21.210000+00:00,,357.0,-1.75,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:22.261000+00:00,,357.1875,-1.6875,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:23.309000+00:00,,357.125,-1.8125,-0.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:24.341000+00:00,,357.0625,-1.9375,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:39:25.382000+00:00,,357.0625,-1.875,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
