,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 17:51:57.337706+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:07.353986+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:17.358258+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:27.362074+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:37.366016+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:47.380628+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:52.143000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:53.190000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:54.246000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:55.295000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:56.348000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:57.394000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:58.434000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:59.486000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:00.536000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:01.583000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:02.630000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:03.683000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:04.723000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:05.769000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:06.820000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:07.870000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:08.921000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:09.971000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:11.023000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:12.061000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
